,2015~2020 야구선수,,,데이터 출처: STATIZ,,,"롯데,삼성,해태",,,,,,,,,,,,,,,,,,,,,,,,,
선수명,연도,팀,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,연봉(만 원)
이상민,2020,삼성,30,17,0,0,1,0,1,0,1,14,10,10,69,17,2,0,4,11,1,1,13,0,2,6.43,7.77,2,76.3,63.7,0.05,4200
정인욱,2015,삼성,25,12,0,0,4,2,2,1,0,29.1,27,27,143,40,9,0,5,16,0,2,29,0,0,8.28,5.7,1.91,59.6,86.5,-0.6,6000
정인욱,2016,삼성,26,27,0,0,23,4,7,0,0,111,92,84,533,138,25,1,19,62,0,8,70,0,7,6.81,6.65,1.8,77.4,78.5,-0.37,6000
정인욱,2017,삼성,27,9,0,0,7,1,4,0,0,32,37,35,159,46,9,0,9,14,0,4,27,0,2,9.84,7.39,1.88,51.5,68.7,-0.61,7200
정인욱,2018,삼성,28,19,0,0,0,1,0,0,0,31,17,12,137,31,7,1,3,9,0,3,27,0,1,3.48,4.51,1.29,152.3,115.9,0.49,5700
정인욱,2019,삼성,29,12,0,0,2,0,2,0,0,21.2,17,17,106,24,9,0,1,15,0,2,15,0,3,7.06,4.97,1.8,61.5,85.1,-0.15,5700
정인욱,2020,삼성,30,5,0,0,0,0,0,0,0,5.1,5,5,26,5,0,0,1,4,0,1,3,0,0,8.44,7.68,1.69,58.1,63.7,-0.03,5000
우규민,2017,삼성,32,27,0,0,25,7,10,0,0,133,95,77,591,161,28,4,19,23,1,16,100,0,2,5.21,4.95,1.38,97.4,102,0.2,70000
우규민,2018,삼성,33,48,0,0,0,4,1,0,10,58.2,28,28,246,70,12,0,6,12,1,5,48,0,0,4.3,4.34,1.4,123.5,120.6,1.39,70000
우규민,2019,삼성,34,54,0,0,0,2,7,15,7,59,20,18,247,58,3,0,7,10,1,6,40,0,0,2.75,4.35,1.15,158,98.4,1.99,70000
우규민,2020,삼성,35,52,0,0,0,3,3,7,11,48,34,33,210,61,10,1,3,9,1,1,30,0,0,6.19,3.68,1.46,79.3,131.8,-0.03,70000
윤성환,2018,삼성,37,24,0,0,24,5,9,0,0,117.1,99,91,542,164,30,0,28,32,0,9,89,0,2,6.98,6.47,1.67,76,81.9,-0.52,80000
윤성환,2019,삼성,38,27,1,1,27,8,13,0,0,145.1,87,77,643,168,34,3,14,50,0,7,65,0,3,4.77,4.94,1.5,91,86.3,0.82,80000
윤성환,2020,삼성,39,5,1,0,5,0,2,0,0,18.2,14,12,84,19,4,2,0,11,0,3,4,0,0,5.79,5.38,1.61,84.8,89.1,-0.16,40000
박준표,2015,KIA,23,37,0,0,2,2,2,0,3,46,32,32,201,54,17,2,4,11,1,5,33,0,2,6.26,4.29,1.41,78.8,115.5,0.21,4500
박준표,2016,KIA,24,46,0,0,2,4,0,0,5,51.2,39,36,238,60,11,1,4,22,3,8,33,0,2,6.27,5.09,1.59,82.6,102.6,0.15,4500
박준표,2018,KIA,26,1,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,2,0,0,2,0,0,0,4.83,1,,106.8,0.14,4500
박준표,2019,KIA,27,49,0,0,0,5,2,0,15,56,15,13,210,42,5,1,4,6,1,4,30,0,1,2.09,3.74,0.86,200.7,111.8,2.14,4500
박준표,2020,KIA,28,50,0,0,0,7,1,6,11,51.2,16,9,205,41,3,0,3,8,2,0,44,0,2,1.57,2.96,0.95,306.2,162.2,2.66,1100
양현종,2015,KIA,27,32,1,1,31,15,6,0,1,184.1,52,50,756,150,27,2,18,78,0,7,157,0,6,2.44,4.57,1.24,202.1,108.5,8.14,75000
양현종,2016,KIA,28,31,3,0,31,10,12,0,0,200.1,96,82,850,191,31,2,19,77,0,2,146,2,6,3.68,4.75,1.34,140.6,109.9,5.69,75000
양현종,2017,KIA,29,31,1,0,31,20,6,0,0,193.1,88,74,808,209,32,2,17,45,0,0,158,0,14,3.44,3.94,1.31,144.2,126.8,4.56,150000
양현종,2018,KIA,30,29,3,0,29,13,11,0,0,184.1,88,85,772,199,33,0,21,43,1,2,152,0,5,4.15,4.38,1.31,123.7,117.9,5.21,230000
양현종,2019,KIA,31,29,2,2,29,16,8,0,0,184.2,56,47,731,165,32,1,6,33,0,2,163,0,1,2.29,2.63,1.07,183.1,160.3,7.35,230000
양현종,2020,KIA,32,31,0,0,31,11,10,0,0,172.1,99,90,746,180,40,4,13,64,0,5,149,0,7,4.7,4.01,1.42,102.1,120.1,2.52,230000
전상현,2016,KIA,20,8,0,0,1,0,2,0,1,13.1,13,12,67,19,3,1,3,8,0,0,11,0,0,8.1,6.87,2.03,63.9,75.9,-0.16,2700
전상현,2018,KIA,22,5,0,0,2,0,0,0,0,10.1,7,7,55,19,4,0,1,5,0,0,7,0,0,6.1,5.19,2.32,84.2,99.5,0.05,2700
전상현,2019,KIA,23,57,0,0,0,1,4,0,15,60.2,21,21,245,45,8,1,3,21,2,2,62,0,2,3.12,3.04,1.09,134.6,138.6,1.83,2700
전상현,2020,KIA,24,47,0,0,0,2,2,15,13,47.2,21,13,198,35,6,1,4,22,0,0,64,0,2,2.45,3.35,1.2,195.5,145,1.61,7600
임기영,2017,KIA,24,23,2,2,19,8,6,0,0,118.1,54,48,497,138,25,1,9,18,1,6,73,0,2,3.65,4.07,1.32,136.1,122.6,2.73,3100
임기영,2018,KIA,25,29,0,0,19,8,9,0,2,105,79,73,491,145,24,0,20,34,2,12,68,0,2,6.26,6.27,1.71,82,82.2,0.41,13000
임기영,2019,KIA,26,12,0,0,8,2,3,0,0,48.2,33,31,225,67,14,1,7,19,0,2,37,0,0,5.73,5.05,1.77,73.1,82.7,0.06,13000
임기영,2020,KIA,27,25,0,0,25,9,10,0,0,127.2,80,73,559,152,26,3,12,33,0,9,106,1,3,5.15,4.1,1.45,93.3,117.1,1.34,7000
홍상삼,2020,KIA,30,57,0,0,0,4,5,0,17,48,27,27,229,32,11,0,5,54,0,3,61,0,8,5.06,5.93,1.79,94.8,81.3,0.95,4000
이준영,2016,KIA,24,13,0,0,1,0,2,0,1,17.2,17,17,87,22,3,2,4,11,0,0,7,0,1,8.66,7.81,1.87,59.8,66.5,-0.14,2700
이준영,2019,KIA,27,37,0,0,1,1,0,0,1,51,42,36,244,64,7,2,3,26,2,2,43,1,0,6.35,4.01,1.77,66,104.6,-0.36,2700
이준영,2020,KIA,28,48,0,0,0,0,2,0,13,23.2,14,14,113,31,5,1,1,13,0,0,22,0,3,5.32,3.89,1.86,90.2,123.9,0.39,4000
문경찬,2015,KIA,23,8,0,0,4,1,3,0,0,27.2,32,30,133,44,9,4,7,10,0,1,15,0,0,9.76,7.01,1.95,50.5,70.2,-0.48,2700
문경찬,2018,KIA,26,32,0,0,0,0,3,0,0,55.1,29,29,240,62,13,0,10,17,2,2,46,1,3,4.72,5.44,1.43,108.8,94.8,0.96,3100
문경찬,2019,KIA,27,54,0,0,0,1,2,24,0,55,9,8,217,45,9,1,2,10,1,0,50,0,0,1.31,2.55,1,320.3,165.4,2.88,3100
